Station,Date,Year,Month,Day,Daily_Rainfall_Total_mm,Mean_Temperature,Max_Temperature,Min_Temperature,Latitude,Longitude,Date_mine,Month_Name,Week,Weekday
Changi,2014-02-23,2014,2,23,0,27.4,32.1,24.4,1.3678,103.9826,2023-02-23,February,8,1
Changi,2014-02-24,2014,2,24,0,27.2,31.5,24.6,1.3678,103.9826,2023-02-24,February,9,2
Changi,2014-02-25,2014,2,25,0,27,31.8,24,1.3678,103.9826,2023-02-25,February,9,3
Changi,2014-02-26,2014,2,26,0,27.3,32,24.4,1.3678,103.9826,2023-02-26,February,9,4
Changi,2014-02-27,2014,2,27,0,27.8,32.4,24.9,1.3678,103.9826,2023-02-27,February,9,5
Changi,2014-02-28,2014,2,28,0,27.6,32.1,25,1.3678,103.9826,2023-02-28,February,9,6
Changi,2014-03-01,2014,3,1,0,27.7,32.7,25.1,1.3678,103.9826,2023-03-01,March,9,7
Changi,2014-03-02,2014,3,2,0,28,33.8,24.8,1.3678,103.9826,2023-03-02,March,9,1
Changi,2014-03-03,2014,3,3,0,27.6,32.9,24.7,1.3678,103.9826,2023-03-03,March,10,2
Changi,2014-03-04,2014,3,4,0,27.8,32.9,25,1.3678,103.9826,2023-03-04,March,10,3
Changi,2014-03-05,2014,3,5,0,27.6,33.5,24.1,1.3678,103.9826,2023-03-05,March,10,4
Changi,2014-03-06,2014,3,6,0,27.5,33,23.8,1.3678,103.9826,2023-03-06,March,10,5
Changi,2014-03-07,2014,3,7,0,27.6,32.6,24.2,1.3678,103.9826,2023-03-07,March,10,6
Changi,2014-03-08,2014,3,8,0,27.9,32.8,24.8,1.3678,103.9826,2023-03-08,March,10,7
Changi,2014-03-09,2014,3,9,0,27.6,32,24.2,1.3678,103.9826,2023-03-09,March,10,1
Changi,2014-03-10,2014,3,10,0,27.8,32.3,24.9,1.3678,103.9826,2023-03-10,March,11,2
Changi,2014-03-11,2014,3,11,0,28.2,33.6,25,1.3678,103.9826,2023-03-11,March,11,3
Changi,2014-03-12,2014,3,12,0,28.3,33.4,25.6,1.3678,103.9826,2023-03-12,March,11,4
Changi,2014-03-13,2014,3,13,0,28.3,33.8,24.7,1.3678,103.9826,2023-03-13,March,11,5
Changi,2014-03-14,2014,3,14,0,28.6,34.1,25.2,1.3678,103.9826,2023-03-14,March,11,6
Changi,2014-03-15,2014,3,15,0,28.6,32.7,25.9,1.3678,103.9826,2023-03-15,March,11,7
Changi,2014-03-16,2014,3,16,52.6,26,28.2,23.6,1.3678,103.9826,2023-03-16,March,11,1
Changi,2014-03-17,2014,3,17,5.4,26.3,30.7,24.3,1.3678,103.9826,2023-03-17,March,12,2
Changi,2014-03-18,2014,3,18,0.4,27.5,32.7,24.9,1.3678,103.9826,2023-03-18,March,12,3
Changi,2014-03-19,2014,3,19,0,27.5,32.5,25.4,1.3678,103.9826,2023-03-19,March,12,4
Changi,2014-03-20,2014,3,20,2,27.6,33.6,25.9,1.3678,103.9826,2023-03-20,March,12,5
Changi,2014-03-21,2014,3,21,5.2,27.7,33.1,25.3,1.3678,103.9826,2023-03-21,March,12,6
Changi,2014-03-22,2014,3,22,0,27.5,31,25,1.3678,103.9826,2023-03-22,March,12,7
Changi,2014-03-23,2014,3,23,0,27.9,32.8,24.2,1.3678,103.9826,2023-03-23,March,12,1
Changi,2014-03-24,2014,3,24,0,28.1,33,24.7,1.3678,103.9826,2023-03-24,March,13,2
Changi,2014-03-25,2014,3,25,0,28.5,33.2,25.2,1.3678,103.9826,2023-03-25,March,13,3
Changi,2014-03-26,2014,3,26,0,28.7,34,25.7,1.3678,103.9826,2023-03-26,March,13,4
Changi,2014-03-27,2014,3,27,0,29.1,34.4,25.8,1.3678,103.9826,2023-03-27,March,13,5
Changi,2014-03-28,2014,3,28,0,28.6,32.7,26.2,1.3678,103.9826,2023-03-28,March,13,6
Changi,2014-03-29,2014,3,29,0.4,28.6,33.3,26.5,1.3678,103.9826,2023-03-29,March,13,7
Changi,2014-03-30,2014,3,30,0,28.4,32.3,25.8,1.3678,103.9826,2023-03-30,March,13,1
Changi,2014-03-31,2014,3,31,0,28.8,33,26.6,1.3678,103.9826,2023-03-31,March,14,2
Changi,2014-04-01,2014,4,1,2,28.4,32.4,26.5,1.3678,103.9826,2023-04-01,April,14,3
Changi,2014-04-02,2014,4,2,0,28.8,32.6,26.3,1.3678,103.9826,2023-04-02,April,14,4
Changi,2014-04-03,2014,4,3,0,29.3,34.2,27.1,1.3678,103.9826,2023-04-03,April,14,5
Changi,2014-04-04,2014,4,4,0,28.6,32.4,26.6,1.3678,103.9826,2023-04-04,April,14,6
Changi,2014-04-05,2014,4,5,23.4,26.4,28,22.8,1.3678,103.9826,2023-04-05,April,14,7
Changi,2014-04-06,2014,4,6,0.2,28,32.5,24.6,1.3678,103.9826,2023-04-06,April,14,1
Changi,2014-04-07,2014,4,7,10,28.6,34.5,25,1.3678,103.9826,2023-04-07,April,15,2
Changi,2014-04-08,2014,4,8,6.6,27.6,32.8,25.4,1.3678,103.9826,2023-04-08,April,15,3
Changi,2014-04-09,2014,4,9,1.8,27.6,34,24.5,1.3678,103.9826,2023-04-09,April,15,4
Changi,2014-04-10,2014,4,10,0,28,31.8,25.8,1.3678,103.9826,2023-04-10,April,15,5
Changi,2014-04-11,2014,4,11,2.8,27.5,33,25.3,1.3678,103.9826,2023-04-11,April,15,6
Changi,2014-04-12,2014,4,12,8,26.8,30.2,23.9,1.3678,103.9826,2023-04-12,April,15,7
Changi,2014-04-13,2014,4,13,0,28.5,33.5,25.6,1.3678,103.9826,2023-04-13,April,15,1
Changi,2014-04-14,2014,4,14,0,28.4,32.6,25.8,1.3678,103.9826,2023-04-14,April,16,2
Changi,2014-04-15,2014,4,15,0,28.5,33.4,25.7,1.3678,103.9826,2023-04-15,April,16,3
Changi,2014-04-16,2014,4,16,0.2,28.7,33,26,1.3678,103.9826,2023-04-16,April,16,4
Changi,2014-04-17,2014,4,17,28.8,28.4,31.6,23.5,1.3678,103.9826,2023-04-17,April,16,5
Changi,2014-04-18,2014,4,18,0,28.2,30.9,26.5,1.3678,103.9826,2023-04-18,April,16,6
Changi,2014-04-19,2014,4,19,0,28.9,32.1,26,1.3678,103.9826,2023-04-19,April,16,7
Changi,2014-04-20,2014,4,20,0.2,28.2,31.7,26.4,1.3678,103.9826,2023-04-20,April,16,1
Changi,2014-04-21,2014,4,21,5.2,26.6,29.6,24.7,1.3678,103.9826,2023-04-21,April,17,2
Changi,2014-04-22,2014,4,22,0,27.9,33.7,25.1,1.3678,103.9826,2023-04-22,April,17,3
Changi,2014-04-23,2014,4,23,0,28.6,33,25.6,1.3678,103.9826,2023-04-23,April,17,4
Changi,2014-04-24,2014,4,24,2.2,28.7,33.7,25,1.3678,103.9826,2023-04-24,April,17,5
Changi,2014-04-25,2014,4,25,0,28.8,34.4,25.4,1.3678,103.9826,2023-04-25,April,17,6
Changi,2014-04-26,2014,4,26,0,29.1,33.6,26.9,1.3678,103.9826,2023-04-26,April,17,7
Changi,2014-04-27,2014,4,27,0.2,28.7,31.7,24.9,1.3678,103.9826,2023-04-27,April,17,1
Changi,2014-04-28,2014,4,28,0.2,28.6,32.8,26.3,1.3678,103.9826,2023-04-28,April,18,2
Changi,2014-04-29,2014,4,29,4.8,28.3,31.6,26.3,1.3678,103.9826,2023-04-29,April,18,3
Changi,2014-04-30,2014,4,30,13.4,28.2,31.8,26,1.3678,103.9826,2023-04-30,April,18,4
Changi,2014-05-01,2014,5,1,0.4,28.4,30.8,24.5,1.3678,103.9826,2023-05-01,May,18,5
Changi,2014-05-02,2014,5,2,0,29.4,32.7,26.8,1.3678,103.9826,2023-05-02,May,18,6
Changi,2014-05-03,2014,5,3,0,29.6,33.7,27.4,1.3678,103.9826,2023-05-03,May,18,7
Changi,2014-05-04,2014,5,4,1.4,29.5,33.4,26.6,1.3678,103.9826,2023-05-04,May,18,1
Changi,2014-05-05,2014,5,5,0,29.4,33.1,26.8,1.3678,103.9826,2023-05-05,May,19,2
Changi,2014-05-06,2014,5,6,0.2,29.8,33.3,27.2,1.3678,103.9826,2023-05-06,May,19,3
Changi,2014-05-07,2014,5,7,18.4,28,33.8,24.3,1.3678,103.9826,2023-05-07,May,19,4
Changi,2014-05-08,2014,5,8,10.6,27.4,32.4,25,1.3678,103.9826,2023-05-08,May,19,5
Changi,2014-05-09,2014,5,9,1.4,29,32,26.6,1.3678,103.9826,2023-05-09,May,19,6
Changi,2014-05-10,2014,5,10,0,29.9,33.3,27.8,1.3678,103.9826,2023-05-10,May,19,7
Changi,2014-05-11,2014,5,11,0,29,33.6,26.6,1.3678,103.9826,2023-05-11,May,19,1
Changi,2014-05-12,2014,5,12,0.4,28.2,31.6,26.5,1.3678,103.9826,2023-05-12,May,20,2
Changi,2014-05-13,2014,5,13,0,29.2,32.6,26.3,1.3678,103.9826,2023-05-13,May,20,3
Changi,2014-05-14,2014,5,14,1.6,28.4,31,26.4,1.3678,103.9826,2023-05-14,May,20,4
Changi,2014-05-15,2014,5,15,12.2,29.5,33.1,26.8,1.3678,103.9826,2023-05-15,May,20,5
Changi,2014-05-16,2014,5,16,20.2,28.6,31.5,23,1.3678,103.9826,2023-05-16,May,20,6
Changi,2014-05-17,2014,5,17,0,28.6,30.8,27.1,1.3678,103.9826,2023-05-17,May,20,7
Changi,2014-05-18,2014,5,18,22.2,26.7,29.2,23.7,1.3678,103.9826,2023-05-18,May,20,1
Changi,2014-05-19,2014,5,19,7.2,27.2,30,23.2,1.3678,103.9826,2023-05-19,May,21,2
Changi,2014-05-20,2014,5,20,3.4,27.5,32.4,23.6,1.3678,103.9826,2023-05-20,May,21,3
Changi,2014-05-21,2014,5,21,0,27.7,32.4,26,1.3678,103.9826,2023-05-21,May,21,4
Changi,2014-05-22,2014,5,22,2,28.7,32.1,26,1.3678,103.9826,2023-05-22,May,21,5
Changi,2014-05-23,2014,5,23,3,27.1,30.7,24.8,1.3678,103.9826,2023-05-23,May,21,6
Changi,2014-05-24,2014,5,24,0,28.4,32.6,25,1.3678,103.9826,2023-05-24,May,21,7
Changi,2014-05-25,2014,5,25,0,29.3,32.6,26.4,1.3678,103.9826,2023-05-25,May,21,1
Changi,2014-05-26,2014,5,26,0,28.8,32.4,26.8,1.3678,103.9826,2023-05-26,May,22,2
Changi,2014-05-27,2014,5,27,0.8,28,30.7,25.7,1.3678,103.9826,2023-05-27,May,22,3
Changi,2014-05-28,2014,5,28,2.6,28.8,32.6,26,1.3678,103.9826,2023-05-28,May,22,4
Changi,2014-05-29,2014,5,29,17.8,28.5,32.7,25,1.3678,103.9826,2023-05-29,May,22,5
Changi,2014-05-30,2014,5,30,0,27.9,31.5,26,1.3678,103.9826,2023-05-30,May,22,6
Changi,2014-05-31,2014,5,31,0,29,31.5,26.5,1.3678,103.9826,2023-05-31,May,22,7
Changi,2014-06-01,2014,6,1,18,28.1,31.9,24.2,1.3678,103.9826,2023-06-01,June,22,1
Changi,2014-06-02,2014,6,2,0,28.7,31.2,26.6,1.3678,103.9826,2023-06-02,June,23,2
Changi,2014-06-03,2014,6,3,0,29.4,32.2,27.6,1.3678,103.9826,2023-06-03,June,23,3
Changi,2014-06-04,2014,6,4,6.6,27.7,28.7,25.6,1.3678,103.9826,2023-06-04,June,23,4
Changi,2014-06-05,2014,6,5,8.8,27,30.5,25.3,1.3678,103.9826,2023-06-05,June,23,5
Changi,2014-06-06,2014,6,6,4.2,27.4,31.2,25.6,1.3678,103.9826,2023-06-06,June,23,6
Changi,2014-06-07,2014,6,7,0,29,32.2,26.2,1.3678,103.9826,2023-06-07,June,23,7
Changi,2014-06-08,2014,6,8,0,29.7,32.6,27.5,1.3678,103.9826,2023-06-08,June,23,1
Changi,2014-06-09,2014,6,9,0,29.4,32.7,27.7,1.3678,103.9826,2023-06-09,June,24,2
Changi,2014-06-10,2014,6,10,1.6,29.2,33,26.1,1.3678,103.9826,2023-06-10,June,24,3
Changi,2014-06-11,2014,6,11,0,29.9,32.9,27.2,1.3678,103.9826,2023-06-11,June,24,4
Changi,2014-06-12,2014,6,12,4.4,29.2,32.5,23,1.3678,103.9826,2023-06-12,June,24,5
Changi,2014-06-13,2014,6,13,0,29.7,32.8,27.4,1.3678,103.9826,2023-06-13,June,24,6
Changi,2014-06-14,2014,6,14,18.8,27.6,30.3,23,1.3678,103.9826,2023-06-14,June,24,7
Changi,2014-06-15,2014,6,15,0,29.4,32.3,27.4,1.3678,103.9826,2023-06-15,June,24,1
Changi,2014-06-16,2014,6,16,0,30.1,32.8,28.3,1.3678,103.9826,2023-06-16,June,25,2
Changi,2014-06-17,2014,6,17,0,30.3,33,28.2,1.3678,103.9826,2023-06-17,June,25,3
Changi,2014-06-18,2014,6,18,2.4,28.9,32.3,23.9,1.3678,103.9826,2023-06-18,June,25,4
Changi,2014-06-19,2014,6,19,3.2,29,32.9,24.5,1.3678,103.9826,2023-06-19,June,25,5
Changi,2014-06-20,2014,6,20,0,30.4,33.3,28.3,1.3678,103.9826,2023-06-20,June,25,6
Changi,2014-06-21,2014,6,21,0,30.6,33.6,28.2,1.3678,103.9826,2023-06-21,June,25,7
Changi,2014-06-22,2014,6,22,0,29.8,33.4,26.7,1.3678,103.9826,2023-06-22,June,25,1
Changi,2014-06-23,2014,6,23,0,29.7,33.2,27.5,1.3678,103.9826,2023-06-23,June,26,2
Changi,2014-06-24,2014,6,24,1,29.3,32.1,25.2,1.3678,103.9826,2023-06-24,June,26,3
Changi,2014-06-25,2014,6,25,0,28.6,30.7,25.2,1.3678,103.9826,2023-06-25,June,26,4
Changi,2014-06-26,2014,6,26,0,29.4,32,27.4,1.3678,103.9826,2023-06-26,June,26,5
Changi,2014-06-27,2014,6,27,0,28,29.8,26.2,1.3678,103.9826,2023-06-27,June,26,6
Changi,2014-06-28,2014,6,28,0,28.8,32.2,26.9,1.3678,103.9826,2023-06-28,June,26,7
Changi,2014-06-29,2014,6,29,0,29.2,32.4,27,1.3678,103.9826,2023-06-29,June,26,1
Changi,2014-06-30,2014,6,30,2.4,27.6,31,24.6,1.3678,103.9826,2023-06-30,June,27,2
Changi,2014-07-01,2014,7,1,0,28.2,32.6,25.9,1.3678,103.9826,2023-07-01,July,27,3
Changi,2014-07-02,2014,7,2,0,28.7,31.6,26,1.3678,103.9826,2023-07-02,July,27,4
Changi,2014-07-03,2014,7,3,0.2,28.6,31.2,26.8,1.3678,103.9826,2023-07-03,July,27,5
Changi,2014-07-04,2014,7,4,19.4,28.1,29.9,23.9,1.3678,103.9826,2023-07-04,July,27,6
Changi,2014-07-05,2014,7,5,0.8,27.9,30.7,24.3,1.3678,103.9826,2023-07-05,July,27,7
Changi,2014-07-06,2014,7,6,2.2,28.7,31.5,25.2,1.3678,103.9826,2023-07-06,July,27,1
Changi,2014-07-07,2014,7,7,3.6,28.5,31.5,24.4,1.3678,103.9826,2023-07-07,July,28,2
Changi,2014-07-08,2014,7,8,12.6,28,31.7,22.7,1.3678,103.9826,2023-07-08,July,28,3
Changi,2014-07-09,2014,7,9,12.6,27.3,28.3,22.6,1.3678,103.9826,2023-07-09,July,28,4
Changi,2014-07-10,2014,7,10,0.2,28.7,32.1,26.9,1.3678,103.9826,2023-07-10,July,28,5
Changi,2014-07-11,2014,7,11,26.8,28,32,24.1,1.3678,103.9826,2023-07-11,July,28,6
Changi,2014-07-12,2014,7,12,0,27.7,31.1,25.3,1.3678,103.9826,2023-07-12,July,28,7
Changi,2014-07-13,2014,7,13,0,29,32.1,26.7,1.3678,103.9826,2023-07-13,July,28,1
Changi,2014-07-14,2014,7,14,0,29.8,32.5,27.6,1.3678,103.9826,2023-07-14,July,29,2
Changi,2014-07-15,2014,7,15,0,29.6,32.2,28.4,1.3678,103.9826,2023-07-15,July,29,3
Changi,2014-07-16,2014,7,16,0,29.4,32.4,27.4,1.3678,103.9826,2023-07-16,July,29,4
Changi,2014-07-17,2014,7,17,7.8,28.1,30.1,23.4,1.3678,103.9826,2023-07-17,July,29,5
Changi,2014-07-18,2014,7,18,0,29.1,31.4,27.2,1.3678,103.9826,2023-07-18,July,29,6
Changi,2014-07-19,2014,7,19,0.6,28.8,31.1,26.7,1.3678,103.9826,2023-07-19,July,29,7
Changi,2014-07-20,2014,7,20,0,29.3,32.2,26.7,1.3678,103.9826,2023-07-20,July,29,1
Changi,2014-07-21,2014,7,21,0,29.5,31.9,27.4,1.3678,103.9826,2023-07-21,July,30,2
Changi,2014-07-22,2014,7,22,0,29.6,32.4,27.8,1.3678,103.9826,2023-07-22,July,30,3
Changi,2014-07-23,2014,7,23,0,29.8,32.3,27.9,1.3678,103.9826,2023-07-23,July,30,4
Changi,2014-07-24,2014,7,24,0,29.6,31.8,27.7,1.3678,103.9826,2023-07-24,July,30,5
Changi,2014-07-25,2014,7,25,0,29.7,33.2,27.4,1.3678,103.9826,2023-07-25,July,30,6
Changi,2014-07-26,2014,7,26,0,29.9,33.1,28.1,1.3678,103.9826,2023-07-26,July,30,7
Changi,2014-07-27,2014,7,27,27.8,28.2,31,23.2,1.3678,103.9826,2023-07-27,July,30,1
Changi,2014-07-28,2014,7,28,0,29,31.9,27.2,1.3678,103.9826,2023-07-28,July,31,2
Changi,2014-07-29,2014,7,29,29,27.6,32,21.1,1.3678,103.9826,2023-07-29,July,31,3
Changi,2014-07-30,2014,7,30,4,27.8,31.4,24.7,1.3678,103.9826,2023-07-30,July,31,4
Changi,2014-07-31,2014,7,31,1,27.6,29.2,24.7,1.3678,103.9826,2023-07-31,July,31,5
Changi,2014-08-01,2014,8,1,0,28.7,31.2,27.1,1.3678,103.9826,2023-08-01,August,31,6
Changi,2014-08-02,2014,8,2,11.8,28.6,31.6,23.5,1.3678,103.9826,2023-08-02,August,31,7
Changi,2014-08-03,2014,8,3,0,28.6,31.1,26.3,1.3678,103.9826,2023-08-03,August,31,1
Changi,2014-08-04,2014,8,4,1.2,28.5,30.5,25.2,1.3678,103.9826,2023-08-04,August,32,2
Changi,2014-08-05,2014,8,5,7.4,26.5,28.5,23.9,1.3678,103.9826,2023-08-05,August,32,3
Changi,2014-08-06,2014,8,6,0.4,27.7,29.8,25.9,1.3678,103.9826,2023-08-06,August,32,4
Changi,2014-08-07,2014,8,7,9.2,27.5,30.8,23.6,1.3678,103.9826,2023-08-07,August,32,5
Changi,2014-08-08,2014,8,8,2,27.6,29.7,24.9,1.3678,103.9826,2023-08-08,August,32,6
Changi,2014-08-09,2014,8,9,0,28.6,31.7,26.7,1.3678,103.9826,2023-08-09,August,32,7
Changi,2014-08-10,2014,8,10,0,28.2,31.6,27,1.3678,103.9826,2023-08-10,August,32,1
Changi,2014-08-11,2014,8,11,0,28.1,30.8,26.6,1.3678,103.9826,2023-08-11,August,33,2
Changi,2014-08-12,2014,8,12,1.4,26.7,28.5,25.1,1.3678,103.9826,2023-08-12,August,33,3
Changi,2014-08-13,2014,8,13,2.4,26.2,27.2,25,1.3678,103.9826,2023-08-13,August,33,4
Changi,2014-08-14,2014,8,14,41.2,26.8,29.4,23.5,1.3678,103.9826,2023-08-14,August,33,5
Changi,2014-08-15,2014,8,15,0.6,26.6,29,25.5,1.3678,103.9826,2023-08-15,August,33,6
Changi,2014-08-16,2014,8,16,0,28.1,30.7,25.7,1.3678,103.9826,2023-08-16,August,33,7
Changi,2014-08-17,2014,8,17,0,28.4,30.6,26.8,1.3678,103.9826,2023-08-17,August,33,1
Changi,2014-08-18,2014,8,18,10.4,28.4,31,25.2,1.3678,103.9826,2023-08-18,August,34,2
Changi,2014-08-19,2014,8,19,0,28.2,31.1,26.2,1.3678,103.9826,2023-08-19,August,34,3
Changi,2014-08-20,2014,8,20,12,27.5,31.1,24.7,1.3678,103.9826,2023-08-20,August,34,4
Changi,2014-08-21,2014,8,21,1.6,28,31.1,26.1,1.3678,103.9826,2023-08-21,August,34,5
Changi,2014-08-22,2014,8,22,0,28.7,31.4,26.9,1.3678,103.9826,2023-08-22,August,34,6
Changi,2014-08-23,2014,8,23,0.8,28.7,31.9,26.7,1.3678,103.9826,2023-08-23,August,34,7
Changi,2014-08-24,2014,8,24,0,27.4,30.8,25.7,1.3678,103.9826,2023-08-24,August,34,1
Changi,2014-08-25,2014,8,25,7.2,26.6,30.4,24.2,1.3678,103.9826,2023-08-25,August,35,2
Changi,2014-08-26,2014,8,26,44.2,26.8,29.8,23.6,1.3678,103.9826,2023-08-26,August,35,3
Changi,2014-08-27,2014,8,27,8.4,26.9,30.1,23.2,1.3678,103.9826,2023-08-27,August,35,4
Changi,2014-08-28,2014,8,28,38.8,26.6,29.8,23.5,1.3678,103.9826,2023-08-28,August,35,5
Changi,2014-08-29,2014,8,29,39.4,26.8,30.3,22,1.3678,103.9826,2023-08-29,August,35,6
Changi,2014-08-30,2014,8,30,0,27.4,31.6,24.5,1.3678,103.9826,2023-08-30,August,35,7
Changi,2014-08-31,2014,8,31,0.6,28,30.2,25.6,1.3678,103.9826,2023-08-31,August,35,1
Changi,2014-09-01,2014,9,1,0,29.1,32.5,26.7,1.3678,103.9826,2023-09-01,September,36,2
Changi,2014-09-02,2014,9,2,0,28.7,31.6,25.8,1.3678,103.9826,2023-09-02,September,36,3
Changi,2014-09-03,2014,9,3,9.2,26.9,31.3,23.4,1.3678,103.9826,2023-09-03,September,36,4
Changi,2014-09-04,2014,9,4,0,28,32.2,24.2,1.3678,103.9826,2023-09-04,September,36,5
Changi,2014-09-05,2014,9,5,0,28.3,31.2,25.2,1.3678,103.9826,2023-09-05,September,36,6
Changi,2014-09-06,2014,9,6,0,27.7,30.7,25.1,1.3678,103.9826,2023-09-06,September,36,7
Changi,2014-09-07,2014,9,7,0.8,27.9,31.5,25.9,1.3678,103.9826,2023-09-07,September,36,1
Changi,2014-09-08,2014,9,8,0,28.9,32,25.9,1.3678,103.9826,2023-09-08,September,37,2
